ticker,board,period,revenue,mom_pct,yoy_pct
1101,TWSE,11506,13382706.0,6.110785011084273,32.39878166305348
1102,TWSE,11506,5885972.0,-6.520399883681983,-2.2149921444340945
1103,TWSE,11506,229237.0,-0.541466906740135,-7.4877618638287915
1104,TWSE,11506,508460.0,-22.46910718860168,-18.91223811855214
1108,TWSE,11506,265297.0,-20.82931705934138,-26.577034099306168
1109,TWSE,11506,314135.0,-9.777470144581219,-19.63205251860588
1110,TWSE,11506,213484.0,-8.629684952085839,-4.010287631012171
1201,TWSE,11506,1825679.0,0.020215744174962063,5.130474540822672
1203,TWSE,11506,427563.0,-1.1810304779822176,-1.127329235636091
1210,TWSE,11506,8952188.0,-1.252158546963529,12.173234339275057
1213,TWSE,11506,25270.0,10.668301655426118,5.661481853152701
1215,TWSE,11506,2419781.0,-2.772207210374582,8.69147871520435
1216,TWSE,11506,58301112.0,-1.4856674941093186,4.598464470005653
1217,TWSE,11506,414313.0,10.085690372122066,-2.41079925002591
1218,TWSE,11506,713728.0,-13.06834652421007,-11.863343529304258
1219,TWSE,11506,1104022.0,-0.9912337735129924,0.4047029207728098
1220,TWSE,11506,273600.0,14.102216569009737,6.909244367336412
1225,TWSE,11506,1006736.0,-2.353916809326822,2.2842704060846146
1227,TWSE,11506,1949498.0,-14.57801408029193,-1.565958701588276
1229,TWSE,11506,1027017.0,30.595950193792536,-52.0107490404645
1231,TWSE,11506,1030161.0,4.442364935560008,6.954929176793785
1232,TWSE,11506,1866048.0,1.8758653220417452,16.299888938332728
1233,TWSE,11506,195470.0,3.4725530675983274,19.862152698998646
1234,TWSE,11506,728270.0,4.88242545739435,-5.288729765897596
1235,TWSE,11506,11632.0,46.09394624466214,-6.839660419670031
1236,TWSE,11506,110212.0,2.6937877954920286,14.115905113948166
1256,TWSE,11506,575547.0,20.99508491038055,52.279239592014925
1301,TWSE,11506,13976274.0,-6.522108733202768,-2.686566790060689
1303,TWSE,11506,27134592.0,-5.883913354043924,31.786106694295782
1304,TWSE,11506,2879163.0,-22.621013051018597,-26.338439716965276
1305,TWSE,11506,564306.0,-42.005699680484916,-44.67300751901814
1307,TWSE,11506,852934.0,-2.6767671581128556,11.11018475940113
1308,TWSE,11506,516682.0,-0.9491347364909812,20.682309744145524
1309,TWSE,11506,601607.0,-38.23818675339501,-51.72301724421562
1310,TWSE,11506,569505.0,10.186609397219723,-24.84441148214229
1312,TWSE,11506,1277524.0,-19.8162744485158,-0.21799322822899053
